#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-23T13:05:14 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-23T13:05:14	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/703/A258/table1&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37030258
#Name: J/A+A/703/A258
#Title: TOI-2449 b radial velocity curves (Ulmer-Moll+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/703/a258	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/703/a258	    IVOID of underlying data collection
#INFO	creator=Ulmer-Moll S.	    First author or institution
#INFO	cites=bibcode:2025A&A...703A.258U	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/703/A258	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-nz/lcfi	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-09-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_703_A258_table1:
#Name: J/A+A/703/A258/table1
#Title: Radial velocities of TOI-2449
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	BJD	(F15.7)	Barycentric Julian date	[ucd=time.epoch]
#Column	RV	(F10.7)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F7.4)	Radial velocity error	[ucd=stat.error]
#Column	Inst	(A7)	Name of the instrument (CHIRON, CORALIE, FEROS or HARPS)	[ucd=meta.id;instr]
recno	BJD	RV	e_RV	Inst
 	d	km/s	km/s	
--------	---------------	----------	-------	-------
       1	2459222.6106600	-4.8230000	 0.0220	CHIRON
       2	2459223.6106100	-4.8640000	 0.0220	CHIRON
       3	2459225.6114200	-4.8150000	 0.0230	CHIRON
       4	2459226.6071200	-4.8500000	 0.0190	CHIRON
       5	2459228.6033900	-4.8480000	 0.0200	CHIRON
       6	2459231.5388300	-4.8050000	 0.0230	CHIRON
       7	2459231.6898821	-3.3852291	 0.0288	CORALIE
       8	2459232.6152200	-4.8450000	 0.0280	CHIRON
       9	2459234.5992500	-4.8260000	 0.0300	CHIRON
      10	2459235.7000035	-3.3972465	 0.0283	CORALIE
      11	2459238.5749300	-4.8100000	 0.0320	CHIRON
      12	2459240.5714800	-4.8300000	 0.0240	CHIRON
      13	2459242.5520300	-4.8220000	 0.0260	CHIRON
      14	2459245.5866868	-3.4057799	 0.0307	CORALIE
      15	2459246.6387900	-4.8460000	 0.0240	CHIRON
      16	2459248.6137100	-4.8480000	 0.0230	CHIRON
      17	2459249.6586137	-3.3898061	 0.0289	CORALIE
      18	2459250.6064000	-4.8750000	 0.0280	CHIRON
      19	2459252.5235000	-4.8560000	 0.0260	CHIRON
      20	2459258.5324500	-4.8640000	 0.0340	CHIRON
      21	2459261.6251600	-4.8670000	 0.0300	CHIRON
      22	2459263.5942500	-4.8600000	 0.0290	CHIRON
      23	2459265.5417400	-4.8180000	 0.0290	CHIRON
      24	2459268.5389800	-4.8260000	 0.0280	CHIRON
      25	2459270.5162300	-4.9150000	 0.0240	CHIRON
      26	2459270.5543705	-3.4452000	 0.0095	FEROS
      27	2459272.5057500	-4.8730000	 0.0280	CHIRON
      28	2459275.5660862	-3.4714000	 0.0116	FEROS
      29	2459276.5018800	-4.8390000	 0.0260	CHIRON
      30	2459277.5040545	-3.4651000	 0.0098	FEROS
      31	2459278.5025700	-4.8870000	 0.0260	CHIRON
      32	2459280.5281300	-4.9050000	 0.0360	CHIRON
      33	2459280.5511367	-3.4593000	 0.0086	FEROS
      34	2459281.5041100	-4.8820000	 0.0260	CHIRON
