# Transit observable posteriors (photo-ring pipeline, step 1)
# Derived from a TTV-fit MCMC posterior via asterodensity profiling (Zuluaga+2015 Eq.1-4)
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.07081632 0.00501495 64.71066654 2513.90170369 45.15535633 0.00764918 89.99322730 5.70845386 4.95332191
0.07174231 0.00514696 62.56241819 2271.75374874 45.15535633 0.26428849 89.75795916 5.72727487 4.90667398
0.07060062 0.00498445 64.80393477 2524.78732571 45.15535633 0.02371299 89.97903439 5.69783643 4.94589793
0.07154388 0.00511853 61.36823959 2144.13274107 45.15535633 0.34095184 89.68167244 5.71063699 4.85460772
0.07097245 0.00503709 63.93890408 2425.02509503 45.15535633 0.19904903 89.82163148 5.67769253 4.89605709
0.07215129 0.00520581 58.23020078 1831.74719575 45.15535633 0.42240473 89.58436996 5.83824896 4.89432170
0.07122785 0.00507341 62.63111290 2279.24525336 45.15535633 0.26901559 89.75390019 5.71137737 4.89644513
0.07060368 0.00498488 65.08322464 2557.57195095 45.15535633 0.06054167 89.94670236 5.66571234 4.91579797
0.07003779 0.00490529 64.37953229 2475.50680509 45.15535633 0.03747166 89.96665138 5.73027587 4.97909527
0.07021115 0.00492961 63.98610065 2430.39916473 45.15535633 0.05683725 89.94910559 5.76184409 5.00347554
0.06984134 0.00487781 63.91519306 2422.32821561 45.15535633 0.04350056 89.96100460 5.76961661 5.01491436
0.07116443 0.00506438 61.89363892 2199.67603723 45.15535633 0.29444811 89.72742437 5.74043160 4.91004070
0.07190181 0.00516987 58.24873121 1833.49648739 45.15535633 0.43223362 89.57483384 5.80948328 4.86423434
0.07038831 0.00495451 65.03311076 2551.66853182 45.15535633 0.06700227 89.94096933 5.66688918 4.91837501
0.07078350 0.00501030 61.17044738 2123.46762050 45.15535633 0.32272566 89.69771507 5.75808006 4.91421300
0.07168235 0.00513836 56.77867263 1698.15128845 45.15535633 0.46761452 89.52812138 5.85902114 4.87256133
0.06991963 0.00488875 63.77037957 2405.90059013 45.15535633 0.12756778 89.88538409 5.74664832 4.98384069
0.07063646 0.00498951 60.76064101 2081.07491071 45.15535633 0.34370977 89.67588847 5.75703116 4.90249368
0.07125784 0.00507768 62.73841025 2290.97949458 45.15535633 0.27347580 89.75024775 5.69536092 4.88040978
0.07198369 0.00518165 63.82071572 2411.60226796 45.15535633 0.25221358 89.77357178 5.63188841 4.82747258
0.07022739 0.00493189 64.59853753 2500.85625906 45.15535633 0.05157836 89.95425248 5.70872389 4.95758897
0.06973474 0.00486293 63.00314243 2320.10322134 45.15535633 0.19929910 89.81875481 5.75487220 4.97542046
0.07138155 0.00509533 63.03155556 2323.24359483 45.15535633 0.29043926 89.73598934 5.64424765 4.82741744
0.06923665 0.00479371 64.39782833 2477.61795005 45.15535633 0.01245530 89.98891832 5.72748226 4.98557131
0.07014316 0.00492006 63.68328432 2396.05637477 45.15535633 0.15684100 89.85889019 5.73446926 4.96489537
0.07054872 0.00497712 62.42122272 2256.40725334 45.15535633 0.27353020 89.74892872 5.72017130 4.90921967
0.07146468 0.00510720 60.59967978 2064.57973727 45.15535633 0.35766893 89.66182925 5.74978202 4.87803105
0.07095660 0.00503484 63.08354138 2328.99668307 45.15535633 0.24229365 89.77993566 5.70479816 4.90470179
0.07102683 0.00504481 63.65931658 2393.35206414 45.15535633 0.23652658 89.78711669 5.66075182 4.86827740
0.07069219 0.00499739 64.75136855 2518.64830413 45.15535633 0.01588577 89.98594335 5.70372160 4.95031387
0.07176935 0.00515084 58.15905575 1825.04136895 45.15535633 0.44317604 89.56339796 5.78854819 4.83791900
0.07044027 0.00496183 64.61144471 2502.35561679 45.15535633 0.09687202 89.91409633 5.69191117 4.93608486
0.07020430 0.00492864 64.36479662 2473.80735611 45.15535633 0.05321847 89.95262637 5.72890232 4.97522156
0.07121822 0.00507203 64.56399802 2496.84693400 45.15535633 0.09995374 89.91129840 5.69874975 4.93377842
0.07061849 0.00498697 64.29620064 2465.90649489 45.15535633 0.12785830 89.88606254 5.70323682 4.93907746
0.07115700 0.00506332 61.29188857 2136.13985419 45.15535633 0.32754289 89.69381080 5.74023889 4.89210269
0.07095780 0.00503501 60.19855089 2023.85215538 45.15535633 0.35835863 89.65891939 5.78361662 4.91203616
0.06975570 0.00486586 63.24358666 2346.76794512 45.15535633 0.13777081 89.87518589 5.78666473 5.01824166
0.07146176 0.00510678 61.79583680 2189.26495636 45.15535633 0.31439110 89.70850203 5.71825745 4.87742896
0.06983923 0.00487752 64.65106905 2506.96230964 45.15535633 0.03456367 89.96936860 5.70566863 4.95984310
0.07119027 0.00506805 63.03859150 2324.02168238 45.15535633 0.22595713 89.79462711 5.73020063 4.93015984
0.07099476 0.00504026 63.28703135 2351.60755016 45.15535633 0.21306914 89.80710131 5.72132246 4.92898486
0.07094707 0.00503349 64.28602013 2464.73534242 45.15535633 0.10185865 89.90921707 5.72096508 4.95546090
0.07020556 0.00492882 64.13715597 2447.65254117 45.15535633 0.08397030 89.92498662 5.73862180 4.98063866
0.07228178 0.00522466 59.89583987 1993.47434042 45.15535633 0.39655112 89.62066027 5.73821135 4.83060404
0.07090837 0.00502800 63.04137419 2324.32946190 45.15535633 0.22151306 89.79867524 5.73356387 4.93756568
0.06973874 0.00486349 64.57846894 2498.52618715 45.15535633 0.05413480 89.95197013 5.70720900 4.96096716
0.07044498 0.00496250 62.50610124 2265.62436166 45.15535633 0.24344473 89.77684753 5.75312665 4.95122158
0.07151816 0.00511485 60.45778525 2050.11098952 45.15535633 0.36613985 89.65300753 5.74626041 4.86869410
0.07101414 0.00504301 65.77570994 2640.08132779 45.15535633 0.05088978 89.95567102 5.61085146 4.86492470
0.07213926 0.00520407 58.32423580 1840.63571219 45.15535633 0.44674859 89.56112483 5.76491749 4.81017863
0.07180933 0.00515658 63.83756728 2413.51308866 45.15535633 0.17866794 89.83964094 5.71102239 4.92208638
0.07245334 0.00524949 59.37436089 1941.85821350 45.15535633 0.42907082 89.58594651 5.71088826 4.77801692
0.07044527 0.00496254 64.66461006 2508.53787121 45.15535633 0.08998732 89.92026713 5.69047530 4.93570932
0.07168995 0.00513945 60.94592314 2100.17097294 45.15535633 0.35051123 89.67047960 5.73264598 4.86564947
0.07123269 0.00507410 60.82100282 2087.28331930 45.15535633 0.32615655 89.69274621 5.78765598 4.93247895
0.07161411 0.00512858 63.52556784 2378.29837982 45.15535633 0.26012451 89.76538458 5.64541781 4.83965778
0.07121128 0.00507105 65.15030401 2565.48814753 45.15535633 0.06234014 89.94517558 5.66255406 4.90688069
0.07030247 0.00494244 64.50967278 2490.54956799 45.15535633 0.08332913 89.92598926 5.70626918 4.95166480
0.07077248 0.00500874 64.80101889 2524.44652952 45.15535633 0.12058652 89.89337972 5.66414945 4.90499154
0.07152846 0.00511632 62.82192211 2300.14032995 45.15535633 0.26721859 89.75628661 5.69828369 4.88282305
0.07108152 0.00505258 64.25434971 2461.09439111 45.15535633 0.16139707 89.85608164 5.68491811 4.91140228
0.07074017 0.00500417 61.09969003 2116.10734076 45.15535633 0.30738910 89.71174694 5.79114810 4.95136922
0.07123377 0.00507425 62.84449245 2302.62036846 45.15535633 0.25927544 89.76361603 5.70561854 4.89564403
0.07018593 0.00492606 63.73076007 2401.41913441 45.15535633 0.14564830 89.86905789 5.73907884 4.97094848
0.07092565 0.00503045 63.05930773 2326.31364995 45.15535633 0.25473292 89.76854866 5.69058463 4.88787334
