# Kepler-51 transit observable posteriors
# Derived from TTV-fit MCMC posterior (Kipping D.)
# Method: Kipping+2014 asterodensity profiling Eq.1-4
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.04843226 0.00234568 132.78067949 6083.88327637 85.31620000 0.91052797 89.60709782 2.55135571 1.35697536
0.04643481 0.00215619 102.80907947 2824.03857474 85.31620000 0.95316503 89.46879093 2.73793656 0.17512220
0.05241735 0.00274758 103.33410536 2867.52533959 85.31620000 0.94413257 89.47649845 2.93286836 0.50957667
0.04900318 0.00240131 110.18988795 3476.97395299 85.31620000 0.93779563 89.51236560 2.78043187 0.93404053
0.06312482 0.00398474 124.66259383 5034.82859083 85.31620000 0.91117452 89.58121424 2.86369654 1.13945586
0.04565172 0.00208408 96.95242830 2368.38491329 85.31620000 0.95247195 89.43711053 2.90087200 0.40212823
0.05982912 0.00357952 133.99184124 6251.88927583 85.31620000 0.92007424 89.60656720 2.55877058 0.94052795
0.04716076 0.00222414 132.52321617 6048.56168759 85.31620000 0.90951914 89.60677066 2.55238992 1.39697242
0.04948069 0.00244834 122.68784336 4799.33217940 85.31620000 0.92394453 89.56850963 2.64423228 1.18570679
0.05246803 0.00275289 110.44177143 3500.87258250 85.31620000 0.94748141 89.50845272 2.70428968 0.05776731
0.05609637 0.00314680 120.47892708 4544.74464660 85.31620000 0.93059568 89.55743518 2.70137144 0.85446275
0.05347088 0.00285913 118.70522503 4346.96076007 85.31620000 0.93575199 89.54833332 2.65706715 0.78204284
0.05017250 0.00251728 116.22521009 4080.16036299 85.31620000 0.92725983 89.54288198 2.76475589 1.15422961
0.05572178 0.00310492 117.47574514 4213.28500900 85.31620000 0.93402626 89.54444787 2.73020962 0.76991897
0.05087986 0.00258876 140.90014550 7269.60037893 85.31620000 0.88596201 89.63972913 2.61440033 1.57482697
0.05030974 0.00253107 119.11082333 4391.67196194 85.31620000 0.93638503 89.54956685 2.60333924 0.86685383
0.04294626 0.00184438 138.90149416 6964.61261696 85.31620000 0.92186670 89.61973441 2.28871877 1.20653889
0.06689984 0.00447559 129.16314731 5600.05212696 85.31620000 0.90784377 89.59728416 2.82811345 1.08810557
0.05290801 0.00279926 106.97479432 3181.41696990 85.31620000 0.92012813 89.50717261 3.11862239 1.36715141
0.05115456 0.00261679 120.96961043 4600.50025476 85.31620000 0.91988275 89.56430456 2.74071316 1.25349301
0.05322519 0.00283292 139.90790220 7117.09802035 85.31620000 0.92003584 89.62321963 2.38829522 1.04083679
0.04745501 0.00225198 114.17767871 3868.29726635 85.31620000 0.94470270 89.52593102 2.58276757 0.69632168
0.05817780 0.00338466 123.50875159 4896.31566308 85.31620000 0.90340899 89.58090432 2.90772742 1.40498858
0.05391127 0.00290642 121.97877634 4716.59981684 85.31620000 0.91985995 89.56791998 2.74856608 1.18211600
0.05399471 0.00291543 115.53268863 4007.65984823 85.31620000 0.93869124 89.53447255 2.70423349 0.66237248
0.04995413 0.00249541 112.82471215 3732.40631383 85.31620000 0.93882948 89.52322867 2.71583819 0.84087598
0.05585816 0.00312013 125.04680783 5081.52471048 85.31620000 0.93519189 89.57149608 2.55486266 0.67599669
0.05087364 0.00258813 116.58154888 4117.80404398 85.31620000 0.93325061 89.54133486 2.70090199 0.96649053
0.05048986 0.00254923 137.72181062 6788.66509265 85.31620000 0.91524298 89.61923282 2.44020681 1.19632649
0.04828693 0.00233163 112.98074428 3747.91305215 85.31620000 0.94659867 89.51994702 2.59835959 0.56844040
0.05435084 0.00295401 138.10530623 6845.53363149 85.31620000 0.90501988 89.62453151 2.55285522 1.29412452
0.04893215 0.00239436 133.45459089 6176.98814303 85.31620000 0.92798992 89.60158483 2.38811146 1.01704123
