# Transit observable posteriors (photo-ring pipeline, step 1)
# Derived from a TTV-fit MCMC posterior via asterodensity profiling (Zuluaga+2015 Eq.1-4)
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.09276314 0.00860500 127.20170145 2297.43162037 130.17802962 0.01839178 89.99171574 8.54232331 7.09155142
0.09421328 0.00887614 125.10083346 2185.46795041 130.17802962 0.21878793 89.89979578 8.52289151 6.98739395
0.09515619 0.00905470 127.26219533 2300.71097875 130.17802962 0.19745351 89.91110277 8.41793035 6.90053217
0.09461261 0.00895155 129.06928437 2400.11769607 130.17802962 0.02478443 89.98899782 8.43199741 6.97350938
0.09496234 0.00901785 127.05099172 2289.27523824 130.17802962 0.20798156 89.90620718 8.41485685 6.89461881
0.09450504 0.00893120 122.12041667 2032.95921047 130.17802962 0.29122866 89.86336282 8.59191179 6.98217719
0.09517855 0.00905896 128.57234904 2372.50189790 130.17802962 0.13038424 89.94189677 8.41089154 6.92566772
0.09465253 0.00895910 129.75707616 2438.69217930 130.17802962 0.08180622 89.96387749 8.36629832 6.91045527
0.09442224 0.00891556 122.80382175 2067.28084471 130.17802962 0.27698156 89.87077041 8.57441427 6.98215034
0.09434539 0.00890105 125.10489971 2185.68106535 130.17802962 0.21802049 89.90015051 8.52492886 6.98760044
0.09610271 0.00923573 122.27717836 2040.79817924 130.17802962 0.33071885 89.84503390 8.49933628 6.84178723
0.09558040 0.00913561 123.03926210 2079.19387107 130.17802962 0.31839257 89.85173374 8.47316382 6.84224978
0.09640979 0.00929485 123.46352949 2100.77672445 130.17802962 0.33691823 89.84364600 8.40429778 6.75353357
0.09479367 0.00898584 127.26475975 2300.85006446 130.17802962 0.18593921 89.91628841 8.43088212 6.92279254
0.09385404 0.00880858 126.78465232 2274.90824481 130.17802962 0.17116948 89.92264606 8.47449748 6.97982453
